word,meaning,example,tag,type,use_when
"--- SECTION: TỪ VỰNG THÔNG DỤNG (DAILY LIFE) ---",,"",,,""
"--- Chủ đề: Cảm xúc & Tính cách ---",,"",,,""
happy,hạnh phúc; vui vẻ,"A successful project implementation makes the team happy.",daily-life,adjective,"Use for a general feeling of joy or contentment."
sad,buồn bã,"He was sad after the system validation failed.",daily-life,adjective,"Use for a feeling of unhappiness, often in response to an event."
excited,hào hứng,"I'm excited to implement this new feature.",daily-life,adjective,"Use for a feeling of great enthusiasm and eagerness."
nervous,lo lắng; hồi hộp,"She felt nervous before the final project presentation.",daily-life,adjective,"Use for feeling worried or anxious about a future event."
calm,bình tĩnh,"You must remain calm during a system failure to debug it effectively.",daily-life,adjective,"Use for a state of being peaceful and untroubled."
confident,tự tin,"He is confident that his approach will solve the problem.",daily-life,adjective,"Use for feeling self-assured about your abilities or decisions."
shy,nhút nhát; e thẹn,"The new intern is a bit shy but very analytical.",daily-life,adjective,"Use for being timid or nervous in the company of other people."
friendly,thân thiện,"A friendly user interface is crucial for a good product.",daily-life,adjective,"Use to describe someone who is kind and pleasant."
kind,tốt bụng,"It was kind of you to help me with the configuration.",daily-life,adjective,"Use to describe someone who is generous and considerate."
honest,trung thực,"An honest assessment of the project's vulnerability is necessary.",daily-life,adjective,"Use to describe someone who is truthful and sincere."
"--- Chủ đề: Hoạt động hàng ngày ---",,"",,,""
eat,ăn,"Let's eat before the afternoon meeting.",daily-life,verb,"Use for the general action of consuming food."
drink,uống,"Remember to drink water to stay productive.",daily-life,verb,"Use for the action of consuming liquids."
sleep,ngủ,"Good sleep is important for high performance.",daily-life,verb,"Use for the state of resting your mind and body."
walk,đi bộ,"I walk to the office to get some exercise.",daily-life,verb,"Use for moving at a regular pace on foot."
run,chạy,"The new algorithm can run much faster.",daily-life,verb,"Use for moving quickly on foot; also used for executing a program."
read,đọc,"He needs to read the API documentation carefully.",daily-life,verb,"Use for looking at and comprehending written material."
write,viết,"She has to write a comprehensive report on the system architecture.",daily-life,verb,"Use for marking letters or symbols on a surface; creating text."
listen,nghe,"You should listen to user feedback to improve the product.",daily-life,verb,"Use for giving attention to a sound or someone speaking."
speak,nói,"He will speak about the benefits of cloud computing.",daily-life,verb,"Use for the action of saying words or talking to someone."
work,làm việc,"Our team will work on the database migration next week.",daily-life,verb,"Use for the activity involving mental or physical effort to achieve a purpose."
study,học; nghiên cứu,"I need to study machine learning to understand this model.",daily-life,verb,"Use for the process of acquiring knowledge, especially from books or a course."
"--- Chủ đề: Gia đình & Mối quan hệ ---",,"",,,""
family,gia đình,"My family is very supportive of my career.",daily-life,noun,"Use for a group of people related by blood or marriage."
friend,bạn bè,"I discussed the project approach with a friend.",daily-life,noun,"Use for a person you know well and like."
colleague,đồng nghiệp,"My colleague helped me debug the code.",business,noun,"Use specifically for a person you work with in a professional context."
partner,đối tác; bạn đời,"We need a reliable business partner for this integration.",business,noun,"Use for a business associate or a spouse/romantic partner."
"--- SECTION: TỪ VỰNG DOANH NGHIỆP (BUSINESS) & CÔNG NGHỆ (IT/AI) ---",,"",,,""
"--- Chủ đề: Quản lý dự án & Quy trình ---",,"",,,""
project,dự án,"The project's goal is to improve system performance.",business,noun,"Use for a planned piece of work that has a specific purpose and duration."
task,nhiệm vụ,"My next task is to write the unit tests for this function.",business,noun,"Use for a small, specific piece of work to be done."
deadline,hạn chót,"We have a strict deadline for the software deployment.",business,noun,"Use for the latest time or date by which something should be completed."
milestone,cột mốc,"Completing the user authentication module is a major milestone.",business,noun,"Use for a significant stage or event in the development of a project."
requirement,yêu cầu,"The first step is to gather all the system requirements.",it,noun,"Use for a condition or capability needed to solve a problem or achieve an objective."
specification,đặc tả; thông số kỹ thuật,"The technical specification describes the system's architecture in detail.",it,noun,"Use for a detailed description of the design and materials used to make something."
agile,linh hoạt,"Our team uses the Agile methodology for software development.",it,adjective,"Use to describe project management methods based on iterative development."
sprint,giai đoạn nước rút,"We plan to release this feature in the next sprint.",it,noun,"Use in Agile for a short, time-boxed period when a team works to complete a set amount of work."
"--- Chủ đề: Tài chính & Kinh doanh ---",,"",,,""
revenue,doanh thu,"The new marketing campaign significantly increased our revenue.",business,noun,"Use for the total income generated by a company from its business activities."
profit,lợi nhuận,"Profit is calculated by subtracting expenses from revenue.",business,noun,"Use for the financial gain; the difference between revenue and costs."
expense,chi phí,"We need to reduce operational expenses without affecting performance.",business,noun,"Use for the cost required for something; the money spent on something."
investment,sự đầu tư,"The company made a large investment in AI research.",business,noun,"Use for the action or process of investing money for profit."
asset,tài sản,"A strong patent portfolio is a valuable company asset.",business,noun,"Use for a useful or valuable thing, person, or quality."
liability,nợ phải trả; trách nhiệm pháp lý,"The company's liabilities are listed on the balance sheet.",business,noun,"Use for a company's legal financial debts or obligations."
equity,vốn chủ sở hữu,"The founders hold a large amount of equity in the startup.",business,noun,"Use for the value of the shares issued by a company."
"--- Chủ đề: Marketing & Bán hàng ---",,"",,,""
customer,khách hàng,"Customer feedback is essential for product improvement.",business,noun,"Use for a person or organization that buys goods or services."
client,khách hàng (thường là dịch vụ),"Our law firm has several high-profile clients.",business,noun,"Use 'client' for someone who uses professional services (lawyer, architect, consultant)."
market,thị trường,"We need to analyze the market before launching a new product.",business,noun,"Use for the arena where commercial dealings are conducted."
strategy,chiến lược,"Our strategy is to focus on a niche market first.",business,noun,"Use for a plan of action designed to achieve a long-term or overall aim."
campaign,chiến dịch,"The advertising campaign was successful in boosting sales.",business,noun,"Use for an organized course of action to achieve a goal, like in marketing or politics."
brand,thương hiệu,"A consistent design helps build a strong brand identity.",business,noun,"Use for a type of product manufactured by a particular company under a particular name."
"--- Chủ đề: Cấu trúc & Hạ tầng IT ---",,"",,,""
server,máy chủ,"The database is running on a dedicated server.",it,noun,"Use for a computer or system that provides resources or services to other computers (clients)."
client,máy khách,"The client sends a request to the server to get data.",it,noun,"Use 'client' in IT for a program or machine that requests services from a server."
network,mạng lưới,"The office network is down, so we can't access the repository.",it,noun,"Use for a set of connected computers that can share resources."
